PlotNumber,SiteUnit
831440,IDF xh 1 /Gg13
831442,IDF xh 1 /Gg02
841502,BG  xw 1 /Gg04d
841506,BG  xh 2 /Gg12.1
841507,PP  xh 2 /Gg01
841509,PP  xh 2 /Gg01
841510,IDF xh 2 /Gg10
841521,IDF dk 1 /Gg13
841523,IDF dk 1 /Gg12.1
841524,BG  xw 1 /Gg12.1
841529,IDF xh 2 /Gg12$2.5
841539,IDF xh 1 /Gg13
85DL036,IDF xh 2 /Gg02
881,IDF xm   /Gg04
88KLP14,IDF xh 1 /Gg02
88KLP26,IDF xh 1 /Gg02
9048,BG  xh 1 /Gg11
9055,PP  xh 1 /Gg02
9059,PP  xh 1 /Gg02
9066,IDF xh 1 /Gg11
9080,BG  xh 1 /Gg11
9117,BG  xh 1 /Gg11
9120,PP  xh 1 /Gg11
9134,PP  xh 1 /Gg02
9136,PP  xh 1 /Gg02
9138,PP  xh 1 /Gg11
9139,IDF dm 1 /Gg11
9143,PP  xh 1 /Gg11
92219,PP  xh 1 /Gg02
92221,PP  xh 1 /Gg02
92222,PP  xh 1 /Gg11
9413,IDF xm   /Gg20
94130,BG  xh 3 /Gg04
94134,BG  xh 3 /Gg04
9414,IDF xm   /Gg21a
94150,IDF xm   /Gg24
94186,BG  xh 3 /Gg27
94204,BG  xw 2 /101 (Gg04c)
94210,BG  xh 3 /Gg27
9425,BG  xh 3 /Gg25
9428,BG  xh 3 /Gg04
9446,IDF xm   /Gg04
9447,BG  xw 2 /Gg24
9458,BG  xw 2 /Gg22a
9466,BG  xw 2 /Gg01
9471,BG  xh 3 /Gg04
9477,BG  xw 2 /101 (Gg04c)
9485,IDF xm   /Gg24
9493,IDF xm   /Gg24
94OS007,BG  xw 2 /Gg24
94OS011,BG  xh 3 /Gg04
94OS03,BG  xw 2 /Gg24
94OS04,BG  xw 2 /Gg24
94OS06,BG  xw 2 /101 (Gg04a)
9523011,IDF xm   /Gg21a
9523017,BG  xw 2 /101 (Gg04a)
9523019,BG  xw 2 /101 (Gg04a)
9523020,BG  xw 2 /Gg01
9523046,IDF xm   /Gg21a
9523048,BG  xw 2 /Gg22a
9523055,IDF xm   /Gg24
9523056,IDF xm   /Gg24
9523060,IDF xm   /Gg01
